complex_id,rank,model_weight,seed,DockQ,acceptable,acceptable_score,ranking_confidence,selector
1a22__B1_P10912--1a22__A1_P01241,7,4,3,0.7292577036205744,True,0.997077226638794,86.5,pairwise_jaccard_nn_1x20
1aor__A1_Q51739--1aor__B1_Q51739,8,4,0,0.0086027185186051,False,0.5813243985176086,26.96875,pairwise_jaccard_nn_1x20
1b3q__B1_Q56310--1b3q__A1_Q56310,12,4,2,0.3572257850611308,True,0.9117895364761353,48.59375,pairwise_jaccard_nn_1x20
1b7e__A1_Q46731--1b7e__A2_Q46731,5,1,2,0.7472874609712273,True,0.9778998494148254,65.6875,pairwise_jaccard_nn_1x20
1bed__A1_P32557--1bed__A2_P32557,20,5,2,0.4887083004014713,True,0.858725368976593,21.921875,pairwise_jaccard_nn_1x20
1bl4__A1_P62942--1bl4__B1_P62942,13,4,3,0.0146362276427371,False,0.9985364675521851,41.03125,pairwise_jaccard_nn_1x20
1boy__A1_P13726--1boy__A2_P13726,12,1,0,0.0046424987792813,False,0.4740961492061615,17.90625,pairwise_jaccard_nn_1x20
1cdd__A1_P08179--1cdd__B1_P08179,1,4,1,0.0070469744777235,False,0.9879213571548462,77.4375,pairwise_jaccard_nn_1x20
1dov__A1_P26231--1dov__A2_P26231,19,4,0,0.1331419809498939,False,0.04193713143467903,17.90625,pairwise_jaccard_nn_1x20
1e1c__A1_P11653--1e1c__B1_P11652,6,4,3,0.8848930295749645,True,0.8748964071273804,95.1875,pairwise_jaccard_nn_1x20
1e5s__A1_O09345--1e5s__B2_O09345,8,4,0,0.0686836664789703,False,0.999229907989502,49.84375,pairwise_jaccard_nn_1x20
1evx__A1_Q94702--1evx__B1_Q94702,4,3,2,0.0103580558701426,False,1.0,81.25,pairwise_jaccard_nn_1x20
1exs__A1_P04119--1exs__A2_P04119,4,3,0,0.3217386191244765,True,0.9999864101409912,61.21875,pairwise_jaccard_nn_1x20
1f8u__A1_P22303--1f8u__B1_P0C1Z0,13,5,1,0.3228791062046801,True,0.7280141115188599,42.4375,pairwise_jaccard_nn_1x20
1fd3__A1_O15263--1fd3__C1_O15263,5,5,1,0.0293442757586005,False,1.0,79.625,pairwise_jaccard_nn_1x20
1foe__A1_Q60610--1foe__B1_P63000,14,2,2,0.5631431680181843,True,0.9990063309669495,83.8125,pairwise_jaccard_nn_1x20
1g6u__A1_UNDEFINED--1g6u__B1_UNDEFINED,4,5,3,0.7171850169222491,True,0.9545296430587769,82.6875,pairwise_jaccard_nn_1x20
1gmg__A1_P03051--1gmg__A2_P03051,1,4,3,0.1445360533665282,False,1.0,87.1875,pairwise_jaccard_nn_1x20
1gri__A1_P62993--1gri__B1_P62993,2,2,2,0.0159329235705509,False,0.18632687628269196,44.53125,pairwise_jaccard_nn_1x20
1hh4__A1_P63000--1hh4__C1_P52565,6,3,3,0.5024079466929915,True,0.9999978542327881,52.3125,pairwise_jaccard_nn_1x20
1hni__A1_P03366--1hni__B1_P03367,14,2,0,0.0056446913079413,False,0.8942548036575317,47.25,pairwise_jaccard_nn_1x20
1i7f__A1_P0A6Y5--1i7f__A2_P0A6Y5,8,2,1,0.7181330333366375,True,0.9948053956031799,83.0625,pairwise_jaccard_nn_1x20
1ira__B1_P14778--1ira__A1_P18510,17,4,1,0.6715472868453435,True,0.9995037317276001,87.8125,pairwise_jaccard_nn_1x20
1k04__A1_Q05397--1k04__A2_Q05397,19,2,0,0.0229809491690238,False,0.07830335199832916,19.671875,pairwise_jaccard_nn_1x20
1k51__A1_Q51912--1k51__A2_Q51912,9,3,2,0.0294380913186867,False,0.33599966764450073,16.078125,pairwise_jaccard_nn_1x20
1k72__B1_P37700--1k72__A1_P37700,4,1,0,0.0051904021024488,False,0.2203875482082367,28.984375,pairwise_jaccard_nn_1x20
1krl__B1_P02882--1krl__A1_P02881,1,2,3,0.8504889730461812,True,0.9965749382972717,87.5625,pairwise_jaccard_nn_1x20
1kzh__A1_P70826--1kzh__B1_P70826,20,4,3,0.9055976265626072,True,0.8784597516059875,91.5,pairwise_jaccard_nn_1x20
1luj__A1_P35222--1luj__B1_Q9JJN6,20,2,1,0.7212364933208342,True,0.8794346451759338,85.125,pairwise_jaccard_nn_1x20
1lyw__B1_P07339--1lyw__A1_P07339,4,5,3,0.4635153900516736,True,0.8643183708190918,94.25,pairwise_jaccard_nn_1x20
1mr1__A1_Q13485--1mr1__D1_P12755,7,3,1,0.9009035299445776,True,0.9785727858543396,90.9375,pairwise_jaccard_nn_1x20
1na6__B1_P14633--1na6__A1_P14633,2,1,2,0.3661058065133973,True,0.9954313039779663,67.25,pairwise_jaccard_nn_1x20
1nfp__A1_P09142--1nfp__A2_P09142,19,3,2,0.1077733357188706,False,0.41817137598991394,22.328125,pairwise_jaccard_nn_1x20
1ny5__B1_O67198--1ny5__A1_O67198,12,5,2,0.095921877955873,False,0.999958872795105,38.40625,pairwise_jaccard_nn_1x20
1ogy__A1_Q53176--1ogy__B1_Q53177,9,1,0,0.6131012007415869,True,0.9606671333312988,92.875,pairwise_jaccard_nn_1x20
1on8__A1_Q9ES89--1on8__B1_Q9ES89,6,1,1,0.5788310539292019,True,0.9996153116226196,65.9375,pairwise_jaccard_nn_1x20
1ory__A1_O67806--1ory__B1_O67803,1,1,0,0.7833672594034556,True,0.8790047764778137,92.6875,pairwise_jaccard_nn_1x20
1pfo__A1_P0C2E9--1pfo__A2_P0C2E9,6,3,0,0.0046249620877741,False,0.21053925156593323,57.25,pairwise_jaccard_nn_1x20
1ptq__A1_P28867--1ptq__A2_P28867,16,4,2,0.4754967192182789,True,0.9678905010223389,56.75,pairwise_jaccard_nn_1x20
1qb3__B1_P20486--1qb3__A1_P20486,3,4,1,0.0101077626122408,False,1.0,74.625,pairwise_jaccard_nn_1x20
1qf8__A1_P67870--1qf8__B1_P67870,8,1,0,0.0904371811650481,False,0.9784948825836182,40.46875,pairwise_jaccard_nn_1x20
1qqf__A1_P01026--1qqf__A2_P01026,4,4,3,0.5927114057455511,True,0.7292604446411133,67.8125,pairwise_jaccard_nn_1x20
1qrk__B1_P00488--1qrk__A1_P00488,17,4,1,0.1615903517428303,False,0.8793709874153137,54.40625,pairwise_jaccard_nn_1x20
1qxx__A1_P02929--1qxx__A2_P02929,16,2,0,0.0345380126769821,False,0.0029636742547154427,48.90625,pairwise_jaccard_nn_1x20
1r5p__B1_Q8YT41--1r5p__A1_Q8YT41,7,2,0,0.0362635563065148,False,0.5344429016113281,25.625,pairwise_jaccard_nn_1x20
1rj9__B1_O07347--1rj9__A1_P83749,17,5,3,0.8288888518376799,True,0.9791722893714905,86.875,pairwise_jaccard_nn_1x20
1rk4__A1_O00299--1rk4__B1_O00299,5,2,3,0.0295013564317024,False,0.2646625339984894,21.65625,pairwise_jaccard_nn_1x20
1s4k__A1_Q8ZPR1--1s4k__B1_Q8ZPR1,3,1,3,0.0329822151837624,False,0.9841129183769226,22.078125,pairwise_jaccard_nn_1x20
1s70__A1_P62207--1s70__B1_Q90623,6,4,3,0.7011177734467106,True,0.9935328960418701,87.0625,pairwise_jaccard_nn_1x20
1smx__A1_P21513--1smx__B1_P21513,6,2,2,0.1844860509355027,False,0.3472154438495636,19.5625,pairwise_jaccard_nn_1x20
1spp__B1_P35496--1spp__A1_P35495,15,2,3,0.2483469707367615,True,0.970641016960144,38.0,pairwise_jaccard_nn_1x20
1t6b__A1_P13423--1t6b__B1_P58335,10,2,1,0.0871656332272122,False,0.2704334557056427,27.015625,pairwise_jaccard_nn_1x20
1t6l__A1_P16790--1t6l__A2_P16790,8,3,0,0.3017937050453949,True,0.9098806977272034,21.0625,pairwise_jaccard_nn_1x20
1tej__B1_P0C6B5--1tej__A1_P0C6B4,15,1,0,0.8486892483150491,True,0.9106760025024414,78.125,pairwise_jaccard_nn_1x20
1tf0__A1_P02768--1tf0__B1_Q51911,12,4,0,0.856565778966598,True,0.9478253722190857,94.125,pairwise_jaccard_nn_1x20
1tj7__A1_P11447--1tj7__B1_P11447,5,5,3,0.009008039331964,False,1.0,84.6875,pairwise_jaccard_nn_1x20
1ujw__A1_P06129--1ujw__B1_P00646,12,3,2,0.8353195234643973,True,0.9483166337013245,87.6875,pairwise_jaccard_nn_1x20
1v5v__A1_O58888--1v5v__B1_O58888,15,2,1,0.4706911751439149,True,0.9999998807907104,79.875,pairwise_jaccard_nn_1x20
1vc1__A1_Q9X1F5--1vc1__B1_Q9X1F5,19,4,1,0.8225372912795373,True,1.0,62.8125,pairwise_jaccard_nn_1x20
1vf6__A1_Q8NI35--1vf6__C1_Q9JLB2,15,1,2,0.7948124596568853,True,0.8374250531196594,79.5625,pairwise_jaccard_nn_1x20
1vp7__B1_Q7VV85--1vp7__A1_Q7VV85,14,5,1,0.8690312443571924,True,0.9992042183876038,85.625,pairwise_jaccard_nn_1x20
1x3w__A1_Q02890--1x3w__B1_P32628,8,3,1,0.3886215033619882,True,0.43578317761421204,43.65625,pairwise_jaccard_nn_1x20
1xsv__A1_P67248--1xsv__B1_P67248,19,3,0,0.7354783333077153,True,0.9994608759880066,32.34375,pairwise_jaccard_nn_1x20
1yt5__A1_Q9X255--1yt5__D1_Q9X255,12,2,3,0.0246481166674029,False,0.985425591468811,78.1875,pairwise_jaccard_nn_1x20
1z77__A1_Q9X0C0--1z77__A2_Q9X0C0,1,5,2,0.2755111913881322,True,0.9999443292617798,67.1875,pairwise_jaccard_nn_1x20
1zop__A1_P20701--1zop__B1_P20701,2,4,1,0.0075852481108492,False,0.8677055835723877,70.5625,pairwise_jaccard_nn_1x20
1zoq__A1_Q14653--1zoq__B1_Q92793,6,3,1,0.7481723326935432,True,0.9879555702209473,87.3125,pairwise_jaccard_nn_1x20
1zp6__A1_A9CEJ3--1zp6__A2_A9CEJ3,1,3,3,0.8207619958199516,True,0.9394674301147461,89.1875,pairwise_jaccard_nn_1x20
2a1j__B1_P07992--2a1j__A1_Q92889,18,1,1,0.7532905171428143,True,0.9793903827667236,80.75,pairwise_jaccard_nn_1x20
2a3l__A1_O80452--2a3l__A2_O80452,20,3,2,0.1878744231945719,False,0.9924174547195435,72.9375,pairwise_jaccard_nn_1x20
2apo__A1_Q57612--2apo__B1_P81303,2,4,1,0.7696087328691347,True,0.908458411693573,90.25,pairwise_jaccard_nn_1x20
2aye__B1_Q84294--2aye__A1_Q84294,10,2,0,0.5741575143702348,True,0.992175281047821,84.1875,pairwise_jaccard_nn_1x20
2b11__A1_P00431--2b11__B1_P00044,19,4,1,0.7909788282654042,True,0.8790040612220764,49.34375,pairwise_jaccard_nn_1x20
2b42__A1_Q8H0K8--2b42__B1_P18429,9,5,1,0.8646364870311057,True,1.0,91.0,pairwise_jaccard_nn_1x20
2b5u__A1_P00646--2b5u__B1_P02984,8,4,1,0.5335302440750425,True,0.9978806972503662,84.875,pairwise_jaccard_nn_1x20
2c08__A1_O35179--2c08__A2_O35179,3,3,3,0.1828714796822167,False,0.6944525837898254,42.9375,pairwise_jaccard_nn_1x20
2cuy__A1_Q5SL77--2cuy__B1_Q5SL77,11,3,3,0.0385396541958032,False,0.999764621257782,30.546875,pairwise_jaccard_nn_1x20
2d1g__A1_A0Q436--2d1g__B1_A0Q436,1,4,1,0.9200916395514568,True,1.0,93.9375,pairwise_jaccard_nn_1x20
2dcu__A1_Q8U082--2dcu__B1_Q8U3I5,5,3,3,0.2023054884118262,False,0.9723365306854248,76.375,pairwise_jaccard_nn_1x20
2dm9__A1_O57724--2dm9__B1_O57724,10,2,3,0.4153672674201678,True,0.9999784231185913,79.375,pairwise_jaccard_nn_1x20
2ec2__A1_Q974H8--2ec2__C1_Q974H8,19,4,2,0.2144919431324696,False,0.9999501705169678,84.6875,pairwise_jaccard_nn_1x20
2ei5__A1_Q5SM82--2ei5__B1_Q5SM82,7,1,3,0.5444482282733024,True,0.9456816911697388,56.75,pairwise_jaccard_nn_1x20
2eiu__E1_O67549--2eiu__A1_O67549,8,2,3,0.933093874737969,True,0.9794670343399048,90.375,pairwise_jaccard_nn_1x20
2fzt__B1_Q9WZF7--2fzt__A1_Q9WZF7,6,5,1,0.8838330315984138,True,0.9867217540740967,79.3125,pairwise_jaccard_nn_1x20
2ga9__B1_P23371--2ga9__A1_P07617,1,5,2,0.771090695564289,True,0.9984599351882935,74.875,pairwise_jaccard_nn_1x20
2gbo__A1_Q831P3--2gbo__B1_Q831P3,16,5,3,0.1793174423935219,False,0.9999945163726807,35.1875,pairwise_jaccard_nn_1x20
2gd9__A1_P37508--2gd9__B1_P37508,1,1,3,0.6030592334830186,True,0.7692137360572815,69.0,pairwise_jaccard_nn_1x20
